 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,878.419,109.786,14.942,69,167,116.470,110
2,664.241,117.274,16.851,79,189,104.567,117
3,959.814,103.673,15.444,65,170,125.558,102
4,668.390,115.448,17.399,74,189,101.113,114
5,604.552,112.493,17.396,74,197,95.236,110
6,591.465,87.260,13.404,49,134,93.749,87
7,1038.973,79.318,15.156,46,127,121.859,80
8,443.359,100.644,11.398,65,145,78.057,101
9,678.604,105.879,17.400,65,168,98.038,105
10,560.184,111.401,16.925,74,160,90.816,109
11,655.303,92.877,15.554,58,156,96.765,93
12,860.545,82.468,13.223,52,140,117.520,81
13,524.753,107.238,21.643,50,174,91.530,106
14,594.976,102.925,15.974,65,158,93.488,100
15,375.052,109.418,10.756,77,141,73.231,109
16,786.173,111.683,13.106,79,158,104.018,111
17,381.117,108.044,16.221,77,185,72.435,106
